Margin,Winner,Team1,Team2,Year,WinRateVsTeam,T1WinRate,T2WinRate,WinByWickets
75,West Indies,Bangladesh,West Indies,2012,0.47,0.31,0.37,0
85,Pakistan,India,Pakistan,2013,0.67,0.63,0.5,0
10,India,India,Pakistan,2013,0.46,0.61,0.52,0
107,Australia,Australia,Sri Lanka,2013,0.47,0.58,0.49,0
9,England,India,England,2013,0.62,0.62,0.61,0
127,India,India,England,2013,0.5,0.6,0.63,0
1,New Zealand,South Africa,New Zealand,2013,0.82,0.63,0.23,0
27,New Zealand,South Africa,New Zealand,2013,0.6,0.59,0.27,0
32,Australia,Australia,Sri Lanka,2013,0.43,0.56,0.51,0
1,South Africa,South Africa,New Zealand,2013,0.47,0.57,0.31,0
54,Australia,Australia,West Indies,2013,0.7,0.58,0.36,0
39,Australia,Australia,West Indies,2013,0.75,0.59,0.35,0
17,Australia,Australia,West Indies,2013,0.81,0.61,0.33,0
125,South Africa,South Africa,Pakistan,2013,0.6,0.59,0.5,0
34,South Africa,South Africa,Pakistan,2013,0.54,0.58,0.5,0
86,New Zealand,England,New Zealand,2013,0.5,0.57,0.33,0
34,England,England,New Zealand,2013,0.4,0.55,0.35,0
26,India,India,South Africa,2013,0.4,0.62,0.59,0
48,England,England,Australia,2013,0.55,0.57,0.62,0
1,New Zealand,New Zealand,Sri Lanka,2013,0,0.34,0.49,0
67,South Africa,Pakistan,South Africa,2013,0.4,0.48,0.57,0
10,England,England,New Zealand,2013,0.5,0.56,0.36,0
20,Sri Lanka,Australia,Sri Lanka,2013,0.48,0.61,0.49,0
5,India,England,India,2013,0.39,0.58,0.65,0
1,West Indies,West Indies,India,2013,0.23,0.35,0.66,0
161,Sri Lanka,India,Sri Lanka,2013,0.72,0.64,0.48,0
102,India,West Indies,India,2013,0.33,0.36,0.63,0
39,Sri Lanka,West Indies,Sri Lanka,2013,0.5,0.35,0.5,0
81,India,India,Sri Lanka,2013,0.66,0.64,0.5,0
1,India,India,Sri Lanka,2013,0.69,0.65,0.5,0
126,Pakistan,West Indies,Pakistan,2013,0.5,0.34,0.45,0
37,West Indies,West Indies,Pakistan,2013,0.4,0.34,0.47,0
180,Sri Lanka,Sri Lanka,South Africa,2013,0.4,0.49,0.56,0
17,Sri Lanka,Sri Lanka,South Africa,2013,0.53,0.5,0.54,0
56,South Africa,Sri Lanka,South Africa,2013,0.61,0.5,0.53,0
128,Sri Lanka,Sri Lanka,South Africa,2013,0.58,0.5,0.53,0
88,Australia,England,Australia,2013,0.6,0.57,0.6,0
49,Australia,England,Australia,2013,0.58,0.57,0.59,0
72,Australia,India,Australia,2013,0.4,0.65,0.6,0
43,Bangladesh,Bangladesh,New Zealand,2013,0.57,0.35,0.35,0
1,South Africa,Pakistan,South Africa,2013,0.34,0.48,0.51,0
40,Bangladesh,Bangladesh,New Zealand,2013,0.73,0.38,0.34,0
66,Pakistan,Pakistan,South Africa,2013,0.3,0.47,0.52,0
57,India,India,Australia,2013,0.45,0.64,0.59,0
68,South Africa,Pakistan,South Africa,2013,0.38,0.48,0.51,0
28,South Africa,Pakistan,South Africa,2013,0.34,0.47,0.52,0
117,South Africa,Pakistan,South Africa,2013,0.31,0.46,0.54,0
36,Sri Lanka,Sri Lanka,New Zealand,2013,0.64,0.5,0.34,0
23,Pakistan,South Africa,Pakistan,2013,0.71,0.55,0.45,0
1,Pakistan,South Africa,Pakistan,2013,0.66,0.53,0.46,0
141,South Africa,South Africa,India,2013,0.47,0.53,0.65,0
134,South Africa,South Africa,India,2013,0.57,0.54,0.64,0
11,Pakistan,Pakistan,Sri Lanka,2013,0.57,0.46,0.51,0
113,Pakistan,Pakistan,Sri Lanka,2013,0.56,0.46,0.51,0
159,New Zealand,New Zealand,West Indies,2014,0.16,0.32,0.35,0
58,New Zealand,New Zealand,West Indies,2014,0.33,0.34,0.34,0
203,West Indies,New Zealand,West Indies,2014,0.45,0.36,0.33,0
1,Australia,Australia,England,2014,0.52,0.59,0.54,0
24,New Zealand,New Zealand,India,2014,0.14,0.35,0.63,0
15,New Zealand,New Zealand,India,2014,0.5,0.37,0.61,0
57,England,Australia,England,2014,0.6,0.61,0.51,0
5,Australia,Australia,England,2014,0.55,0.6,0.52,0
87,New Zealand,New Zealand,India,2014,0.73,0.41,0.59,0
13,Sri Lanka,Bangladesh,Sri Lanka,2014,0.5,0.43,0.5,0
61,Sri Lanka,Bangladesh,Sri Lanka,2014,0.37,0.41,0.51,0
12,Sri Lanka,Pakistan,Sri Lanka,2014,0.58,0.48,0.53,0
72,Pakistan,Afghanistan,Pakistan,2014,0,0,0.46,0
15,West Indies,West Indies,England,2014,0,0.35,0.51,0
32,Afghanistan,Bangladesh,Afghanistan,2014,0.5,0.35,0,0
1,Pakistan,India,Pakistan,2014,0.67,0.58,0.48,0
129,Sri Lanka,Afghanistan,Sri Lanka,2014,0.5,0.31,0.55,0
25,England,West Indies,England,2014,0.28,0.36,0.51,0
81,England,England,Sri Lanka,2014,0.38,0.52,0.57,0
157,Sri Lanka,England,Sri Lanka,2014,0.52,0.53,0.56,0
7,Sri Lanka,England,Sri Lanka,2014,0.52,0.53,0.56,0
47,India,Bangladesh,India,2014,0.17,0.3,0.58,0
75,South Africa,Sri Lanka,South Africa,2014,0.63,0.57,0.55,0
87,Sri Lanka,Sri Lanka,South Africa,2014,0.55,0.56,0.57,0
82,South Africa,Sri Lanka,South Africa,2014,0.6,0.57,0.55,0
177,West Indies,West Indies,Bangladesh,2014,0.61,0.36,0.28,0
91,West Indies,West Indies,Bangladesh,2014,0.67,0.38,0.27,0
77,Sri Lanka,Sri Lanka,Pakistan,2014,0.48,0.55,0.5,0
133,India,England,India,2014,0.35,0.51,0.59,0
62,Australia,Australia,South Africa,2014,0.36,0.59,0.57,0
41,England,England,India,2014,0.25,0.48,0.61,0
93,Australia,Australia,Pakistan,2014,0.69,0.59,0.48,0
124,West Indies,India,West Indies,2014,0.7,0.6,0.39,0
48,India,India,West Indies,2014,0.63,0.59,0.4,0
1,Australia,Australia,Pakistan,2014,0.81,0.6,0.46,0
59,India,India,West Indies,2014,0.66,0.6,0.39,0
72,South Africa,New Zealand,South Africa,2014,0.36,0.41,0.58,0
169,India,India,Sri Lanka,2014,0.65,0.6,0.57,0
153,India,India,Sri Lanka,2014,0.72,0.62,0.54,0
32,Australia,Australia,South Africa,2014,0.43,0.61,0.59,0
73,Australia,Australia,South Africa,2014,0.45,0.61,0.59,0
25,Sri Lanka,Sri Lanka,England,2014,0.61,0.53,0.49,0
90,Sri Lanka,Sri Lanka,England,2014,0.61,0.53,0.48,0
147,Pakistan,New Zealand,Pakistan,2014,0.5,0.41,0.45,0
87,Sri Lanka,Sri Lanka,England,2014,0.63,0.54,0.47,0
7,New Zealand,New Zealand,Pakistan,2014,0.41,0.4,0.46,0
68,New Zealand,New Zealand,Pakistan,2014,0.5,0.41,0.46,0
61,South Africa,South Africa,West Indies,2015,1,0.55,0.39,0
148,South Africa,South Africa,West Indies,2015,1,0.56,0.38,0
108,New Zealand,New Zealand,Sri Lanka,2015,0.45,0.45,0.54,0
120,New Zealand,New Zealand,Sri Lanka,2015,0.52,0.46,0.53,0
1,West Indies,South Africa,West Indies,2015,1,0.58,0.36,0
131,South Africa,South Africa,West Indies,2015,0.81,0.57,0.37,0
34,Sri Lanka,New Zealand,Sri Lanka,2015,0.57,0.47,0.52,0
112,Australia,Australia,England,2015,0.64,0.65,0.47,0
119,New Zealand,New Zealand,Pakistan,2015,0.63,0.47,0.44,0
98,New Zealand,New Zealand,Sri Lanka,2015,0.52,0.49,0.53,0
111,Australia,Australia,England,2015,0.67,0.66,0.46,0
76,India,India,Pakistan,2015,0.54,0.6,0.43,0
105,Bangladesh,Afghanistan,Bangladesh,2015,1,0.19,0.26,0
150,West Indies,Pakistan,West Indies,2015,0.62,0.42,0.37,0
130,India,India,South Africa,2015,0.37,0.61,0.58,0
92,Sri Lanka,Bangladesh,Sri Lanka,2015,0.21,0.29,0.53,0
257,South Africa,South Africa,West Indies,2015,0.84,0.56,0.38,0
1,New Zealand,New Zealand,Australia,2015,0.29,0.51,0.66,0
275,Australia,Australia,Afghanistan,2015,1,0.65,0.13,0
29,Pakistan,Pakistan,South Africa,2015,0.36,0.42,0.57,0
64,Australia,Australia,Sri Lanka,2015,0.44,0.66,0.54,0
15,Bangladesh,Bangladesh,England,2015,0.38,0.28,0.44,0
109,India,Bangladesh,India,2015,0.13,0.29,0.62,0
143,New Zealand,New Zealand,West Indies,2015,0.38,0.54,0.36,0
95,Australia,Australia,India,2015,0.56,0.67,0.62,0
79,Bangladesh,Bangladesh,Pakistan,2015,0,0.28,0.42,0
210,England,England,New Zealand,2015,0.47,0.44,0.55,0
13,New Zealand,England,New Zealand,2015,0.55,0.45,0.54,0
79,Bangladesh,Bangladesh,India,2015,0.1,0.35,0.61,0
77,India,Bangladesh,India,2015,0.37,0.38,0.6,0
135,Pakistan,Sri Lanka,Pakistan,2015,0.54,0.53,0.4,0
165,Sri Lanka,Sri Lanka,Pakistan,2015,0.47,0.51,0.42,0
20,South Africa,South Africa,New Zealand,2015,0.59,0.55,0.53,0
62,South Africa,South Africa,New Zealand,2015,0.57,0.54,0.53,0
59,Australia,England,Australia,2015,0.31,0.45,0.68,0
64,Australia,England,Australia,2015,0.29,0.44,0.69,0
93,England,England,Australia,2015,0.28,0.44,0.69,0
5,South Africa,India,South Africa,2015,0.48,0.6,0.55,0
22,India,India,South Africa,2015,0.41,0.59,0.56,0
18,South Africa,India,South Africa,2015,0.49,0.6,0.55,0
35,India,India,South Africa,2015,0.43,0.59,0.56,0
214,South Africa,India,South Africa,2015,0.49,0.6,0.55,0
1,Sri Lanka,Sri Lanka,West Indies,2015,0.67,0.52,0.36,0
19,Sri Lanka,Sri Lanka,West Indies,2015,0.83,0.53,0.34,0
95,England,England,Pakistan,2015,0.65,0.44,0.42,0
84,England,England,Pakistan,2015,0.77,0.46,0.41,0
36,New Zealand,New Zealand,Sri Lanka,2016,0.58,0.53,0.53,0
25,Australia,Australia,India,2016,0.74,0.69,0.56,0
70,New Zealand,New Zealand,Pakistan,2016,0.67,0.54,0.4,0
159,New Zealand,New Zealand,Australia,2016,0.42,0.56,0.68,0
39,England,South Africa,England,2016,0.33,0.56,0.46,0
55,New Zealand,New Zealand,Australia,2016,0.45,0.55,0.68,0
1,South Africa,South Africa,England,2016,0.33,0.54,0.47,0
47,South Africa,Australia,South Africa,2016,0.63,0.67,0.55,0
36,Australia,Australia,South Africa,2016,0.55,0.66,0.56,0
139,South Africa,West Indies,South Africa,2016,0.26,0.36,0.55,0
100,West Indies,West Indies,South Africa,2016,0.23,0.34,0.56,0
58,Australia,West Indies,Australia,2016,0.23,0.36,0.66,0
122,England,England,Sri Lanka,2016,0.42,0.47,0.51,0
82,Sri Lanka,Sri Lanka,Australia,2016,0.45,0.5,0.67,0
44,England,England,Pakistan,2016,0.8,0.48,0.39,0
169,England,England,Pakistan,2016,0.85,0.5,0.38,0
7,Bangladesh,Bangladesh,Afghanistan,2016,0.55,0.4,0.09,0
111,Pakistan,Pakistan,West Indies,2016,0.53,0.38,0.35,0
141,Bangladesh,Bangladesh,Afghanistan,2016,0.52,0.4,0.17,0
142,South Africa,South Africa,Australia,2016,0.46,0.55,0.67,0
59,Pakistan,Pakistan,West Indies,2016,0.6,0.39,0.34,0
136,Pakistan,Pakistan,West Indies,2016,0.65,0.39,0.34,0
21,England,Bangladesh,England,2016,0.64,0.42,0.5,0
34,Bangladesh,Bangladesh,England,2016,0.43,0.41,0.51,0
31,South Africa,South Africa,Australia,2016,0.59,0.57,0.64,0
6,New Zealand,India,New Zealand,2016,0.38,0.57,0.55,0
19,New Zealand,India,New Zealand,2016,0.42,0.56,0.55,0
190,India,India,New Zealand,2016,0.36,0.56,0.56,0
62,West Indies,Sri Lanka,West Indies,2016,0.87,0.49,0.33,0
1,Sri Lanka,Sri Lanka,West Indies,2016,0.7,0.48,0.34,0
68,Australia,Australia,New Zealand,2016,0.45,0.63,0.55,0
116,Australia,Australia,New Zealand,2016,0.53,0.64,0.54,0
117,Australia,Australia,New Zealand,2016,0.59,0.64,0.53,0
77,New Zealand,New Zealand,Bangladesh,2016,0.36,0.52,0.41,0
67,New Zealand,New Zealand,Bangladesh,2016,0.5,0.53,0.4,0
92,Australia,Australia,Pakistan,2017,0.86,0.65,0.4,0
15,India,India,England,2017,0.61,0.57,0.5,0
86,Australia,Australia,Pakistan,2017,0.79,0.65,0.4,0
5,England,India,England,2017,0.65,0.58,0.49,0
57,Australia,Australia,Pakistan,2017,0.81,0.65,0.39,0
6,New Zealand,New Zealand,Australia,2017,0.36,0.54,0.66,0
121,South Africa,South Africa,Sri Lanka,2017,0.58,0.59,0.48,0
24,New Zealand,New Zealand,Australia,2017,0.43,0.55,0.65,0
40,South Africa,South Africa,Sri Lanka,2017,0.66,0.6,0.47,0
88,South Africa,South Africa,Sri Lanka,2017,0.69,0.61,0.46,0
6,New Zealand,New Zealand,South Africa,2017,0.34,0.55,0.62,0
159,South Africa,New Zealand,South Africa,2017,0.41,0.56,0.61,0
45,England,West Indies,England,2017,0.22,0.34,0.5,0
186,England,West Indies,England,2017,0.13,0.32,0.52,0
90,Bangladesh,Sri Lanka,Bangladesh,2017,0.82,0.46,0.38,0
70,Sri Lanka,Sri Lanka,Bangladesh,2017,0.69,0.45,0.4,0
74,Pakistan,West Indies,Pakistan,2017,0.39,0.33,0.38,0
72,England,England,South Africa,2017,0.49,0.52,0.61,0
2,England,England,South Africa,2017,0.56,0.53,0.6,0
96,South Africa,South Africa,Sri Lanka,2017,0.72,0.6,0.46,0
124,India,India,Pakistan,2017,0.62,0.57,0.4,0
87,England,England,New Zealand,2017,0.53,0.53,0.55,0
19,Pakistan,Pakistan,South Africa,2017,0.42,0.39,0.61,0
63,Afghanistan,West Indies,Afghanistan,2017,0.5,0.32,0.16,0
40,England,England,Australia,2017,0.33,0.54,0.64,0
180,Pakistan,India,Pakistan,2017,0.7,0.58,0.42,0
105,India,West Indies,India,2017,0.28,0.32,0.57,0
93,India,West Indies,India,2017,0.25,0.32,0.58,0
11,West Indies,West Indies,India,2017,0.23,0.31,0.58,0
168,India,Sri Lanka,India,2017,0.25,0.44,0.6,0
26,India,India,Australia,2017,0.3,0.61,0.63,0
50,India,India,Australia,2017,0.37,0.61,0.62,0
124,England,England,West Indies,2017,0.91,0.54,0.31,0
6,England,England,West Indies,2017,0.92,0.55,0.31,0
21,Australia,India,Australia,2017,0.46,0.62,0.61,0
83,Pakistan,Pakistan,Sri Lanka,2017,0.53,0.43,0.43,0
32,Pakistan,Pakistan,Sri Lanka,2017,0.56,0.44,0.42,0
104,South Africa,South Africa,Bangladesh,2017,0.57,0.6,0.38,0
200,South Africa,South Africa,Bangladesh,2017,0.67,0.6,0.37,0
6,India,India,New Zealand,2017,0.45,0.61,0.53,0
